CHROM,MIN_START,MAX_END,AVG_START,AVG_END,AVG_SIZE,AVG_QUAL,SAMPLES_COUNT,SAMPLES_PERCENT,SIZE_STDEV,RSSD,BREAKPOINT_WINDOW,BREAKPOINT_PRECISION,START_BREAKPOINT_CONFIDENCE,END_BREAKPOINT_CONFIDENCE,SOFT_CLIP_SUPPORT,SAMPLES_WITH_BP_EVIDENCE,EVIDENCE_CLUSTERED,START_DEPTH_RATIO,END_DEPTH_RATIO,REPEAT_OVERLAP,REPEAT_OVERLAP_BP,REPEAT_OVERLAP_PERCENT,REPEAT_TYPES,REPEAT_NAMES,REPEAT_FAMILIES,REPEAT_CLASSES,PRIMARY_REPEAT_TYPE,PRIMARY_REPEAT_NAME,PRIMARY_REPEAT_OVERLAP_BP,NUM_REPEAT_ELEMENTS,REPEAT_DENSITY,DISTANCE_TO_NEAREST_REPEAT,PRIMARY_GENE_NAME,PRIMARY_GENE_START,PRIMARY_GENE_END,PRIMARY_GENE_STRAND,PRIMARY_GENE_OVERLAP_BP,PRIMARY_GENE_DISTANCE
NW_024424341.1,6917556,6917818,6917584.6,6917794.6,210,9999,10,100,13.86,0.066,52,0.853965,0.86625,0.84168,52,4,both,0.56,5,Yes,199,97.54901961,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,199,1,0.975490196,0,ABCC11,6851717,6921013,-,204,0
NW_024424897.1,25441495,25441735,25441507.7,25441705.3,197.6,9013.9,10,100,10.37,0.0525,42.4,0.7606725000000001,0.6825000000000001,0.8388450000000001,37,2,both,0.069,11,Yes,193,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,193,1,1,0,ABCC3,25413422,25459202,+,193,0
NW_024423344.1,64747472,64749003,64747612.3,64748814.9,1202.6,6274.19,10,100,33.55,0.0279,328.4,0.7625000000000001,0.7875000000000001,0.7375,36,1,both,0.012,1,Yes,365,29.89352989,SINE,MIR;UrsMar-6.1536,MIR;tRNA,SINE,SINE,UrsMar-6.1536,202,2,0.298935299,0,ABCC4,64515567,64750671,-,1221,0
NW_024426552.1,79449865,79452092,79450009.1,79451928.7,1919.6,5576.94,10,100,30.94,0.0161,307.4,0.7984200000000001,0.7875000000000001,0.8093400000000001,44,2,both,0.027,84,Yes,933,47.91987673,LINE;SINE;tRNA,L1MD;L2b;UrsMar-1.18;UrsMar-6.1536;tRNA-Lys-AAG,L1;L2;tRNA,LINE;SINE;tRNA,LINE,L1MD,315,6,0.479198767,0,ABCC5,79425986,79515644,+,1947,0
NW_024425119.1,20478955,20479201,20478972.2,20479186.9,214.7,9999,10,100,6.71,0.0312,31.3,0.8951775,0.84273,0.947625,49,2,both,0.092,2.522,Yes,201,94.81132075,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.948113208,0,ABCC9,20347148,20477504,-,0,1470
NW_024425119.1,20443096,20443355,20443126.2,20443352.2,226,9999,10,100,19.1,0.0845,38.2,0.65957,0.8121,0.50704,52,2,both,0.964,0.584,Yes,197,96.56862745,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,197,1,0.965686275,0,ABCC9,20347148,20477504,-,204,0
NW_024425119.1,20435096,20435317,20435119.5,20435290.6,171.1,9999,10,100,22.37,0.1308,49.9,0.52107,0.6391,0.40304000000000006,46,2,both,0.838,0.791,Yes,183,100,Simple_repeat,(CTTT)n,None,Simple_repeat,Simple_repeat,(CTTT)n,183,1,1,0,ABCC9,20347148,20477504,-,183,0
NW_024425119.1,20444906,20445149,20444922,20445121.8,199.8,9003.7,10,100,10.24,0.0512,43.2,0.7493325000000001,0.6825000000000001,0.816165,40,3,both,0,5.667,Yes,195,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,195,1,1,0,ABCC9,20347148,20477504,-,195,0
NW_024423453.1,20763716,20763987,20763716,20763925.2,209.2,9999,10,100,23.99,0.1147,61.8,0.6072500000000001,0.6825000000000001,0.532,40,1,both,0.223,0.707,Yes,196,96.07843137,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,196,1,0.960784314,0,ABHD18,20717303,20767131,+,204,0
NW_024423343.1,31565605,31565887,31565605.6,31565836,230.4,9999,10,100,27.27,0.1183,54.5,0.774375,0.6825000000000001,0.86625,33,1,both,0.154,2.474,Yes,207,100,Low_complexity;SINE,A-rich;UrsMar-6.1536,tRNA,Low_complexity;SINE,SINE,UrsMar-6.1536,198,2,1,0,ABI2,31513484,31644155,-,207,0
NW_024424119.1,54895115,54895291,54895123.1,54895255.7,132.6,9999,10,100,20.45,0.1542,43.4,0.8752800000000001,0.8490300000000001,0.90153,39,2,both,0.076,24,Yes,15,13.39285714,Simple_repeat,(T)n,None,Simple_repeat,Simple_repeat,(T)n,15,1,0.133928571,0,ABL1,54898389,54944877,+,0,3153
NW_024426996.1,78893910,78894154,78893914.9,78894130.8,215.9,9999,10,100,14.45,0.0669,28.9,0.5902050000000001,0.648375,0.532035,35,4,both,0.045,1.531,No,0,0,None,None,None,None,None,None,0,0,0,73,ABLIM2,78813944,78957680,-,237,0
NW_024424897.1,43163200,43163466,43163200,43163419.8,219.8,9999,10,100,20.06,0.0913,46.2,0.8579025,0.8316000000000001,0.884205,44,3,both,0.156,2.708,Yes,210,100,SINE,MIRb;MIRc;UrsMar-6.1536,MIR;tRNA,SINE,SINE,UrsMar-6.1536,200,3,1,0,ABR,43041850,43216769,+,210,0
NW_024424897.1,43134918,43135173,43134918,43135136,218,9004.3,10,100,20.85,0.0957,41.7,0.8562500000000001,0.925,0.7875000000000001,38,2,both,0.932,2.742,Yes,196,92.89099526,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,196,1,0.928909953,0,ABR,43041850,43216769,+,211,0
NW_024426996.1,17039706,17039910,17039706,17039909,203,9999,10,100,0.45,0.0022,20,0.8485825,0.8728650000000001,0.8243,50,3,both,0.065,1.189,Yes,204,100,LINE;SINE,L1ME4a;UrsMar-6.1536,L1;tRNA,LINE;SINE,SINE,UrsMar-6.1536,200,2,1,0,ABRAXAS1,17036681,17054014,+,204,0
NW_024426996.1,17032303,17033208,17032371.2,17032965.9,594.8,8339.75,10,100,17.93,0.0301,310.2,0.561875,0.60375,0.52,40,6,both,0.244,0.671,Yes,596,98.83913765,LINE;Simple_repeat,(T)n;UrsMar-1.201,L1,LINE;Simple_repeat,LINE,UrsMar-1.201,574,2,0.988391376,0,ABRAXAS1,17036681,17054014,+,0,3760
NW_024424786.1,20210015,20210276,20210015,20210258.2,243.2,9999,10,100,8.91,0.0366,20,0.63375,0.7875000000000001,0.48,39,3,both,0.093,1.172,Yes,226,98.26086957,SINE;Simple_repeat,(A)n;UrsMar-6.1536,tRNA,SINE;Simple_repeat,SINE,UrsMar-6.1536,201,2,0.982608696,0,ABTB2,20082353,20258806,-,230,0
NW_024424230.1,23938486,23938724,23938486.1,23938694.2,208.1,9999,10,100,9.97,0.0479,29.9,0.7644525,0.673365,0.85554,47,3,both,0.236,5,Yes,201,98.04878049,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.980487805,0,ACAA2,23922756,23955968,+,205,0
NW_024426885.1,8912436,8912681,8912436,8912641.4,205.4,9999,10,100,15.13,0.0736,39.6,0.8801625000000001,0.90951,0.8508150000000001,34,2,both,0.105,17.75,Yes,196,99.49238579,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,196,1,0.994923858,0,ACADSB,8913871,8951323,-,0,1238
NW_024426885.1,8937536,8938271,8937565.6,8938016.3,450.6,9094.09,10,100,13.2,0.0293,284.4,0.6884675,0.6769350000000001,0.7,45,2,both,0.19,1.034,Yes,476,91.89189189,LINE;SINE;Simple_repeat,(TTCT)n;UrsMar-1.201;UrsMar-6.1536,L1;tRNA,LINE;SINE;Simple_repeat,LINE,UrsMar-1.201,437,3,0.918918919,0,ACADSB,8913871,8951323,-,518,0
NW_024426552.1,69972055,69972318,69972056.6,69972280.3,223.7,9011.1,10,100,21.94,0.0981,43.9,0.8137500000000001,0.6825000000000001,0.9450000000000001,34,1,both,0.107,8.944,Yes,200,96.15384615,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,200,1,0.961538462,0,ACAP2,69886921,70027121,+,208,0
NW_024424452.1,69642026,69642294,69642026.1,69642255.4,229.3,9999,10,100,17.22,0.0751,38.7,0.6986175000000001,0.80661,0.5906250000000001,35,4,both,0.714,2.391,Yes,225,100,SINE;Simple_repeat,(TATT)n;UrsMar-6.1536,tRNA,SINE;Simple_repeat,SINE,UrsMar-6.1536,190,2,1,0,ACBD3,69622320,69657018,+,225,0
NW_024424452.1,89063156,89063287,89063156,89063247,91,9999,10,100,16.01,0.1759,40,0.8433075000000001,0.8728650000000001,0.8137500000000001,48,2,both,0.398,2.091,Yes,80,98.7654321,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,80,1,0.987654321,0,ACBD6,88943883,89142161,+,81,0
NW_024423786.1,53049096,53049715,53049150.1,53049496.4,346.3,8339.42,10,100,23.86,0.0689,272.7,0.70675,0.6825000000000001,0.731,38,2,both,0.028,1,Yes,182,50.98039216,DNA;LTR,Charlie1;LTR88b,Gypsy;hAT-Charlie,DNA;LTR,DNA,Charlie1,101,2,0.509803922,0,ACER1,53019501,53054756,+,357,0
NW_024424119.1,22726226,22726722,22726317.7,22726527.9,210.1,7154.43,10,100,33.27,0.1583,285.9,0.655095,0.64575,0.66444,49,2,both,0.46,3.286,Yes,214,100,DNA;SINE,Tigger17a;UrsMar-6.1536,TcMar-Tigger;tRNA,DNA;SINE,SINE,UrsMar-6.1536,198,2,1,0,ACO1,22686294,22740657,+,214,0
NW_024425786.1,4247621,4247747,4247642.2,4247718.1,75.9,9999,10,100,12.79,0.1686,50.1,0.41149500000000006,0.46042500000000003,0.362565,29,11,both,0.763,1.295,No,0,0,None,None,None,None,None,None,0,0,0,1223,ACOT7,4191055,4301822,-,104,0
NW_024424897.1,5630201,5630470,5630201,5630424.7,223.7,9999,10,100,25.17,0.1125,50.3,0.8099175000000001,0.67221,0.947625,43,2,both,0.769,4.885,Yes,198,97.53694581,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,198,1,0.975369458,0,ACOX1,5628797,5650306,+,203,0
NW_024423786.1,31862040,31862324,31862107.5,31862297.1,189.6,9999,10,100,21.5,0.1134,94.4,0.7245,0.63,0.8190000000000001,35,1,both,0.278,4.524,Yes,175,99.43181818,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,175,1,0.994318182,0,ACOX2,31834525,31862883,+,176,0
NW_024426774.1,34986477,34987313,34986519.6,34987070.5,550.8,9094.82,10,100,23.69,0.043,285.2,0.8868825,0.96138,0.8123850000000001,51,5,both,0.209,87,Yes,533,97.26277372,LINE,UrsMar-1.201,L1,LINE,LINE,UrsMar-1.201,533,1,0.972627737,0,ACOXL,34698783,35016218,+,548,0
NW_024424453.1,29720769,29721100,29720771.1,29720995.9,224.8,9999,10,100,36.89,0.1641,106.2,0.756945,0.6780900000000001,0.8358,50,2,both,0.109,1.189,Yes,210,100,SINE,UrsMar-1.18;UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,2,1,0,ACP3,29664061,29751270,-,210,0
NW_024424453.1,29687733,29688013,29687733,29687963.5,230.5,9011.6,10,100,21.83,0.0947,49.5,0.8556975,0.80745,0.903945,37,3,both,0.071,9.143,Yes,200,94.78672986,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,200,1,0.947867299,0,ACP3,29664061,29751270,-,211,0
NW_024425230.1,26302661,26302907,26302661,26302864.5,203.5,9999,10,100,15.6,0.0766,42.5,0.6374025000000001,0.6825000000000001,0.5923050000000001,43,2,both,0.183,16.857,Yes,197,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,197,1,1,0,ACSBG1,26265644,26313263,-,197,0
NW_024424564.1,20664846,20665053,20664848.7,20665052.9,204.2,9999,10,100,0.98,0.0048,20,0.789705,0.748125,0.8312849999999999,35,2,both,0.189,2.882,Yes,201,98.52941176,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.985294118,0,ACSS3,20562754,20711800,+,204,0
NW_024423343.1,71008956,71009064,71008973,71009046.2,73.2,9999,10,100,7.87,0.1075,34.8,0.1,0.1,0.1,0,0,none,,,Yes,35,47.94520548,SINE,UrsMar-1.13,tRNA,SINE,SINE,UrsMar-1.13,35,1,0.479452055,0,ACVR1,70982258,71082643,+,73,0
NW_024425119.1,41944170,41944407,41944170,41944372.5,202.5,9999,10,100,15.55,0.0768,34.5,0.84294,0.738255,0.947625,36,1,both,0.791,3.333,Yes,198,95.19230769,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,198,1,0.951923077,0,ACVR1B,41915708,41949811,+,208,0
NW_024425119.1,41939998,41940259,41939998,41940213.1,215.1,9010.3,10,100,20.35,0.0946,45.9,0.91434,0.964215,0.864465,30,1,both,0.462,2.697,Yes,205,100,SINE,MIR;UrsMar-6.1536,MIR;tRNA,SINE,SINE,UrsMar-6.1536,201,3,1,0,ACVR1B,41915708,41949811,+,205,0
NW_024426774.1,64356275,64356504,64356275,64356482.2,207.2,9999,10,100,7.68,0.0371,21.8,0.670905,0.77931,0.5625,32,3,both,0.505,1.149,Yes,210,100,LINE;SINE,L1M4;UrsMar-6.1536,L1;tRNA,LINE;SINE,SINE,UrsMar-6.1536,203,2,1,0,ACYP2,64264913,64520803,-,210,0
NW_024426774.1,64480827,64481435,64480858.3,64481187,328.7,9093.64,10,100,20.53,0.0625,279.3,0.7792049999999999,0.780465,0.777945,48,2,both,0.146,4.591,Yes,318,94.92537313,LINE,UrsMar-1.201,L1,LINE,LINE,UrsMar-1.201,318,1,0.949253731,0,ACYP2,64264913,64520803,-,335,0
NW_024426119.1,9510602,9510879,9510602,9510820.3,218.3,9999,10,100,21.88,0.1002,58.7,0.6456975,0.6825000000000001,0.608895,35,1,both,0.012,3.903,Yes,201,97.10144928,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.971014493,0,ADAL,9503094,9530722,+,207,0
NW_024424675.1,18927045,18927296,18927045,18927271.8,226.8,9999,10,100,16.76,0.0739,33.5,0.7018200000000001,0.61614,0.7875000000000001,32,3,both,0,2.457,Yes,195,95.58823529,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,195,1,0.955882353,0,ADAM33,18911625,18925293,+,0,1752
NW_024423897.1,37649002,37649243,37649002,37649210.7,208.7,9999,10,100,13.84,0.0663,32.3,0.905065,0.93513,0.875,35,2,both,0.286,0.862,Yes,201,99.5049505,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.995049505,0,ADAMTS12,37441024,37725362,+,202,0
NW_024425230.1,9038648,9038866,9038648,9038848.9,200.9,9999,10,100,5.7,0.0284,20,0.9156424999999999,1,0.8312849999999999,48,2,both,0.054,17,Yes,199,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,199,1,1,0,ADAMTS17,8787674,9129093,+,199,0
NW_024426996.1,26295789,26296021,26295789,26295986.3,197.3,8031,10,100,11.63,0.0589,34.7,0.785505,0.723135,0.847875,50,2,both,0.226,2.795,Yes,191,98.96373057,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,191,1,0.989637306,0,ADAMTS3,26260916,26509737,+,193,0
NW_024423786.1,26461951,26462206,26461951,26462176.2,225.2,9999,10,100,14.94,0.0663,29.9,0.88977,0.882,0.89754,46,2,both,0.115,3.667,Yes,212,100,Low_complexity;SINE,A-rich;UrsMar-6.1536,tRNA,Low_complexity;SINE,SINE,UrsMar-6.1536,203,2,1,0,ADAMTS9,26346521,26502519,+,212,0
NW_024424119.1,11835168,11835383,11835202.5,11835353.9,151.4,9999,10,100,21.46,0.1418,63.6,0.662655,0.6865950000000001,0.6387149999999999,30,10,both,0.744,1.333,No,0,0,None,None,None,None,None,None,0,0,0,228,ADAMTSL1,11587020,11963084,+,107,0
NW_024425230.1,23583299,23583529,23583299.1,23583506.4,207.3,9999,10,100,7.58,0.0366,22.7,0.6633375000000001,0.6825000000000001,0.644175,39,3,both,0.202,9.5,Yes,201,98.04878049,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.980487805,0,ADAMTSL3,23375356,23708949,+,205,0
NW_024424341.1,29158787,29158974,29158787.4,29158908.5,121.1,9999,10,100,22.01,0.1817,65.9,0.82872,0.8775,0.7799400000000001,39,2,both,0.9,12.714,Yes,105,89.74358974,LINE,UrsMar-1.201,L1,LINE,LINE,UrsMar-1.201,105,1,0.897435897,0,ADAT1,29144403,29166043,-,117,0
NW_024427107.1,70117260,70117487,70117260,70117463.5,203.5,9999,10,100,7.84,0.0385,23.5,0.7568925,0.6825000000000001,0.8312849999999999,33,1,both,0.2,23.333,Yes,201,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,1,0,ADCY8,70041446,70266063,-,201,0
NW_024427107.1,70083799,70084043,70083813.4,70084018.6,205.2,9999,10,100,9.39,0.0458,38.8,0.8042475,0.8104950000000001,0.798,36,2,both,0.2,2.167,Yes,199,98.51485149,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,199,1,0.985148515,0,ADCY8,70041446,70266063,-,202,0
NW_024426885.1,19877251,19877440,19877251.1,19877439,187.9,9999,10,100,1.3,0.0069,20,0.796215,0.97482,0.61761,39,3,both,0.079,5.667,Yes,189,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,189,1,1,0,ADD3,19749264,19876639,-,0,612
NW_024426996.1,64999786,65000080,64999786,64999989.8,203.8,9999,10,100,30.07,0.1476,90.2,0.8528625000000001,0.86667,0.8390550000000001,47,2,both,0.407,2.721,Yes,193,99.48453608,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,193,1,0.994845361,0,ADGRA3,64964169,65087827,+,194,0
NW_024426663.1,18816164,18816448,18816164,18816373,209,9999,10,100,25,0.1196,75,0.6140924999999999,0.616035,0.61215,37,4,end,0.784,5.846,Yes,201,99.5049505,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.995049505,0,ADGRV1,18573085,19044512,-,202,0
NW_024425119.1,2077001,2077271,2077001,2077224.9,223.9,9999,10,100,18.8,0.0839,46.1,0.6739950000000001,0.6825000000000001,0.66549,39,1,both,0.418,1.3,Yes,215,100,LINE;SINE,UrsMar-5.1186;UrsMar-6.1536,L1;tRNA,LINE;SINE,SINE,UrsMar-6.1536,204,2,1,0,ADIPOR2,2037476,2125170,-,215,0
NW_024425230.1,31184437,31184545,31184437,31184536.7,99.7,9999,10,100,2.83,0.0284,20,0.67788,0.664965,0.690795,34,4,both,0.23,7.438,Yes,74,74.74747475,snRNA,U4,None,snRNA,snRNA,U4,74,1,0.747474747,0,ADPGK,31185865,31220130,+,0,1329
NW_024424564.1,48733402,48733644,48733433.5,48733643.4,209.9,9013.2,10,100,14.82,0.0706,32.1,0.8648850000000001,0.90678,0.8229900000000001,42,2,both,0.268,3,Yes,200,99.00990099,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,200,1,0.99009901,0,ADSL,48730823,48748163,+,202,0
NW_024425119.1,18053002,18053238,18053004.4,18053210.9,206.5,9999,10,100,11.8,0.0571,29.5,0.78561,0.87297,0.69825,37,4,both,0.193,5.111,Yes,205,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,205,1,1,0,AEBP2,18044523,18108257,+,205,0
NW_024426774.1,76428533,76428761,76428533.4,76428739.7,206.3,9999,10,100,10.42,0.0505,21.7,0.6123500000000001,0.4267,0.798,40,4,both,0.81,5.643,Yes,201,93.48837209,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.934883721,0,AFF3,76271040,76822641,-,215,0
NW_024426663.1,59918484,59919181,59918484,59919116.9,632.9,7044.7,10,100,33.57,0.053,67.1,0.8322825,0.8366399999999999,0.827925,57,2,both,0.328,11.714,Yes,589,98.16666667,LINE,UrsMar-1.201,L1,LINE,LINE,UrsMar-1.201,589,1,0.981666667,0,AFF4,59902907,59962479,+,600,0
NW_024425230.1,17812591,17812808,17812600.9,17812807.9,207,9999,10,100,3.35,0.0162,20,0.6947325,0.723975,0.66549,51,5,both,0.569,2.38,Yes,206,100,LINE;SINE,L1MEc;UrsMar-6.1536,L1;tRNA,LINE;SINE,SINE,UrsMar-6.1536,205,2,1,0,AGBL1,17735133,18425076,+,206,0
NW_024425230.1,18322127,18322409,18322158.6,18322373.9,215.3,9999,10,100,14.88,0.0691,66.7,0.8640450000000001,0.8866200000000001,0.84147,42,2,both,0.038,7.182,Yes,200,96.15384615,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,200,1,0.961538462,0,AGBL1,17735133,18425076,+,208,0
NW_024423564.1,65516818,65516922,65516818.1,65516922,103.9,9999,10,100,0.3,0.0029,20,0.714105,0.680085,0.748125,42,4,both,0,33.5,Yes,104,100,LINE,L2c,L2,LINE,LINE,L2c,104,1,1,0,AGBL4,64471688,65759946,+,104,0
NW_024423564.1,65221325,65221539,65221325,65221522,197,9999,10,100,5.67,0.0288,20,0.765625,0.86625,0.665,44,3,both,0.25,1.169,Yes,196,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,196,1,1,0,AGBL4,64471688,65759946,+,196,0
NW_024423564.1,65650175,65650448,65650175,65650406.9,231.9,9999,10,100,19.15,0.0826,41.1,0.8988,0.849975,0.947625,41,2,both,0.14,10.125,Yes,217,99.5412844,SINE;Simple_repeat,(AAAT)n;UrsMar-6.1536,tRNA,SINE;Simple_repeat,SINE,UrsMar-6.1536,165,3,0.995412844,0,AGBL4,64471688,65759946,+,218,0
NW_024423564.1,65344259,65344549,65344274.3,65344489.5,215.2,9013.8,10,100,21.03,0.0977,74.8,0.6615575,0.773115,0.55,35,3,both,0.19,0.893,Yes,195,94.20289855,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,195,1,0.942028986,0,AGBL4,64471688,65759946,+,207,0
NW_024423564.1,65334683,65334793,65334692.9,65334759.4,66.5,9007,10,100,11.26,0.1694,43.5,0.89166,0.798945,0.984375,39,3,both,0.622,1.7,No,0,0,None,None,None,None,None,None,0,0,0,123,AGBL4,64471688,65759946,+,62,0
NW_024423564.1,64612793,64615977,64612885.6,64615778,2892.4,7157.79,10,100,32.13,0.0111,291.6,0.7392000000000001,0.80115,0.67725,47,2,both,0.645,3.769,Yes,2430,86.13966678,LINE;SINE,L1M4;L1M4a1;L1MC1;L2a;MIRb;UrsMar-1.13;UrsMar-1.15,L1;L2;MIR;tRNA,LINE;SINE,LINE,L1M4,462,9,0.861396668,0,AGBL4,64471688,65759946,+,2821,0
