CHROM,MIN_START,MAX_END,AVG_START,AVG_END,AVG_SIZE,AVG_QUAL,SAMPLES_COUNT,SAMPLES_PERCENT,SIZE_STDEV,RSSD,BREAKPOINT_WINDOW,BREAKPOINT_PRECISION,START_BREAKPOINT_CONFIDENCE,END_BREAKPOINT_CONFIDENCE,SOFT_CLIP_SUPPORT,SAMPLES_WITH_BP_EVIDENCE,EVIDENCE_CLUSTERED,START_DEPTH_RATIO,END_DEPTH_RATIO,REPEAT_OVERLAP,REPEAT_OVERLAP_BP,REPEAT_OVERLAP_PERCENT,REPEAT_TYPES,REPEAT_NAMES,REPEAT_FAMILIES,REPEAT_CLASSES,PRIMARY_REPEAT_TYPE,PRIMARY_REPEAT_NAME,PRIMARY_REPEAT_OVERLAP_BP,NUM_REPEAT_ELEMENTS,REPEAT_DENSITY,DISTANCE_TO_NEAREST_REPEAT,PRIMARY_GENE_NAME,PRIMARY_GENE_START,PRIMARY_GENE_END,PRIMARY_GENE_STRAND,PRIMARY_GENE_OVERLAP_BP,PRIMARY_GENE_DISTANCE
NW_026622963.1,30485763,30486002,30485763,30485974.8,211.8,9999,13,100,9.21,0.0435,27.2,0.6294500000000001,0.7389,0.52,34,5,both,0.873,0.787,Yes,209,99.0521327,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,209,1,0.990521327,0,AGBL1,30210440,30919025,+,211,0
NW_026622963.1,30726400,30726503,30726432.4,30726502.9,70.5,9999,13,100,13.36,0.1894,32.5,0.537005,0.4501,0.62391,49,7,both,1.052,1.228,Yes,64,100,Simple_repeat,GA-rich,None,Simple_repeat,Simple_repeat,GA-rich,64,1,1,0,AGBL1,30210440,30919025,+,64,0
NW_026622908.1,32393327,32394951,32393451.2,32394769,1317.7,6206.9,13,100,22.75,0.0173,306.3,0.7136,0.7419,0.6853,48,6,both,1,0.852,Yes,1213,92.03338392,LINE,AilMel-5.28,L1,LINE,LINE,AilMel-5.28,1213,1,0.920333839,0,AGBL2,32377216,32412787,-,1318,0
NW_026622985.1,80045477,80046346,80045499.6,80046313.5,813.8,9999,13,100,34.84,0.0428,69.7,0.6919500000000001,0.7089,0.675,33,7,both,0.963,1.085,Yes,281,34.52088452,SINE;Simple_repeat,(TG)n;AilMel-5.25,tRNA,SINE;Simple_repeat,SINE,AilMel-5.25,138,3,0.345208845,0,AHCYL2,79952622,80113282,+,814,0
NW_026622985.1,80086529,80086777,80086529,80086739.9,210.9,9999,13,100,12.49,0.0592,37.1,0.6053,0.5456,0.665,30,7,both,1.147,0.984,Yes,202,97.58454106,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.975845411,0,AHCYL2,79952622,80113282,+,207,0
NW_026622874.1,56319769,56319992,56319769,56319966.9,197.9,9999,13,100,7.25,0.0366,25.1,0.35120000000000007,0.36240000000000006,0.34,51,5,both,1.265,0.791,Yes,196,95.6097561,SINE,AilMel-5.25,tRNA,SINE,SINE,AilMel-5.25,196,1,0.956097561,0,AIDA,56315245,56350911,-,205,0
NW_026622786.1,69536083,69536153,69536083,69536130.2,47.2,9999,13,100,6.61,0.1401,22.8,0.8048500000000001,0.8022,0.8075,43,6,both,0.923,1.101,No,0,0,None,None,None,None,None,None,0,0,0,385,AKR1A1,69530740,69542194,-,45,0
NW_026622874.1,2862197,2862424,2862197,2862389.9,192.9,6190.92,13,100,28.06,0.1454,56.1,0.67335,0.671,0.6757,32,9,both,0.808,1.02,Yes,144,100,LINE,L1MEb_5end,L1,LINE,LINE,L1MEb_5end,144,1,1,0,AKT3,2838635,3143040,-,144,0
NW_026623089.1,38079725,38079795,38079746.3,38079792.2,45.9,9999,13,100,6.74,0.1468,24.1,0.5112,0.6364,0.386,39,3,both,0.968,1.057,No,0,0,None,None,None,None,None,None,0,0,0,207,ALOX5,38054756,38105124,+,44,0
NW_026623111.1,54025625,54025831,54025625,54025827.2,202.2,9999,13,100,1.12,0.0055,20,0.2706,0.1,0.4412,17,4,end,,1.011,Yes,195,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,195,1,1,0,AMTN,54022391,54036198,+,195,0
NW_026623078.1,57393968,57394199,57393968,57394143.8,175.8,9999,13,100,15.95,0.0907,55.2,0.757,0.7181,0.7959,33,6,both,0.963,1.271,Yes,174,97.20670391,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,174,1,0.972067039,0,ANGPT1,57367693,57613528,-,179,0
NW_026622863.1,594193,594309,594222.5,594308.1,85.6,9999,13,100,15.51,0.1812,31,0.4952,0.4971,0.4933,32,9,both,1.047,1.145,Yes,81,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,81,1,1,0,ANKRD11,568302,754964,+,81,0
NW_026623078.1,51722860,51723083,51722875.7,51723082.8,207.1,9999,13,100,4.62,0.0223,20,0.43165,0.3733,0.49,30,4,both,1.156,0.912,Yes,214,100,SINE;Simple_repeat,(TTTTC)n;AilMel-5.25,tRNA,SINE;Simple_repeat,SINE,AilMel-5.25,197,3,1,0,ANKRD46,51715992,51906775,-,214,0
NW_026623067.1,45462732,45462932,45462738.5,45462931.9,193.5,9999,13,100,1.91,0.0099,20,0.67105,0.6316,0.7105,38,8,both,1.218,0.989,Yes,193,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,193,1,1,0,ANKRD55,45252106,45621384,-,193,0
NW_026622908.1,14951225,14952215,14951381.3,14952060.7,679.4,5242.4,13,100,31.21,0.0459,310.6,0.87955,1,0.7591,43,6,both,1.034,0.95,Yes,519,94.02173913,LINE,L2a_3end,L2,LINE,LINE,L2a_3end,290,2,0.940217391,0,ANO3,14729435,15123756,+,552,0
NW_026622908.1,11613776,11613943,11613776,11613900.5,124.5,9999,13,100,12.28,0.0987,42.5,0.56335,0.54,0.5867,30,8,both,1.099,0.906,Yes,114,85.71428571,LINE,AilMel-5.28,L1,LINE,LINE,AilMel-5.28,114,1,0.857142857,0,ANO5,11609488,11712320,+,133,0
NW_026623019.1,26269725,26269961,26269725,26269920.2,195.2,9999,13,100,11.77,0.0603,40.8,0.61635,0.5867,0.646,40,6,both,0.982,0.988,Yes,198,98.01980198,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,198,1,0.98019802,0,AOPEP,26116303,26442240,+,202,0
NW_026623019.1,26267685,26267957,26267685,26267909.5,224.5,9999,13,100,24.85,0.1107,49.7,0.44408000000000003,0.40496,0.4832,32,8,both,1.317,1.148,Yes,207,100,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,SINE,AilMel-5.756,202,2,1,0,AOPEP,26116303,26442240,+,207,0
NW_026622863.1,50919297,50919538,50919315.5,50919533.2,217.6,9999,13,100,12.31,0.0566,24.6,0.7016,0.6927,0.7105,43,7,both,0.803,0.939,Yes,413,196.6666667,SINE,AilMel-5.756;MirAng-6.1356,tRNA,SINE,SINE,MirAng-6.1356,210,2,1.966666667,0,AP2A1,50922266,50952911,+,0,2729
NW_026622941.1,12362806,12362983,12362806,12362951.9,145.9,9999,13,100,9.93,0.068,31.1,0.555,0.7747,0.3353,41,8,both,1,0.95,Yes,68,40.47619048,SINE,LycPic-1.11,tRNA,SINE,SINE,LycPic-1.11,68,1,0.404761905,0,APOLD1,12364585,12369894,+,0,1611
NC_079873.1,67872608,67872902,67872630.9,67872873.8,242.8,9999,13,100,12.57,0.0518,51.2,0.66452,0.56264,0.7664,40,4,both,1.339,0.959,Yes,431,185.7758621,DNA;SINE,AilMel-5.756;MirAng-6.1356;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,SINE,MirAng-6.1356,222,3,1.857758621,0,APOOL,67850724,68113128,+,232,0
NW_026622830.1,575136,575677,575225.8,575477.7,251.9,7236.78,13,100,27.74,0.1101,289.1,0.5685,0.5217,0.6153,34,8,both,1.132,1.056,No,0,0,None,None,None,None,None,None,0,0,0,198,ARFRP1,571773,579563,+,208,0
NW_026622897.1,23381199,23381364,23381229.4,23381329.2,99.8,9999,13,100,9.99,0.1001,65.2,0.6725,0.7471,0.5979,33,7,both,0.882,1.05,No,0,0,None,None,None,None,None,None,0,0,0,710,ARHGAP32,23365185,23652869,-,156,0
NC_079873.1,7929400,7929681,7929400,7929616,216,9999,13,100,20.49,0.0949,65,0.5686,0.6935,0.4437,51,2,both,1.103,0.923,Yes,157,98.125,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,157,1,0.98125,0,ARHGAP6,7786940,8274237,-,160,0
NW_026623067.1,58337544,58337726,58337544,58337725.9,181.9,9999,13,100,0.27,0.0015,20,0.5367999999999999,0.7283,0.3453,31,5,both,1.04,0.921,No,0,0,None,None,None,None,None,None,0,0,0,782,ARHGEF28,58195481,58493647,+,180,0
NW_026622819.1,40101911,40102020,40101931.5,40102004.3,72.8,9999,13,100,8.36,0.1147,36.2,0.58785,0.4632,0.7125,45,2,both,1.143,0.958,Yes,71,93.42105263,LINE,L1MB4_3end;L1MC2_3end,L1,LINE,LINE,L1MB4_3end,58,2,0.934210526,0,ARHGEF37,40082725,40129877,+,76,0
NC_079873.1,49105302,49105438,49105325.2,49105404.3,79.1,9241.69,13,100,14.59,0.1845,56.9,0.5851999999999999,0.6333,0.5371,32,9,both,1.023,0.979,No,0,0,None,None,None,None,None,None,0,0,0,44,ARHGEF9,48761845,49189761,-,79,0
NC_079873.1,48960417,48962413,48960558.9,48962254.3,1695.4,5675.09,13,100,35.27,0.0208,300.6,0.7050000000000001,0.66,0.75,37,11,both,1.019,0.946,Yes,1669,100.9068924,LINE,AilMel-3.126;AilMel-5.28;LepWed-6.1636,L1,LINE,LINE,AilMel-3.126,587,4,1.009068924,0,ARHGEF9,48761845,49189761,-,1654,0
NW_026622797.1,10609326,10609521,10609326,10609521,195,9999,13,100,0,0,20,0.5093825000000001,0.6187650000000001,0.4,30,6,both,0.789,0.933,Yes,205,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,205,1,1,0,ARID1B,10200132,10629765,-,205,0
NW_026622986.1,20120637,20120891,20120637,20120848,211,9999,13,100,17.07,0.0809,43,0.6382000000000001,0.6000000000000001,0.6764,40,4,both,1.257,0.989,Yes,202,94.83568075,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.948356808,0,ARL5B,20102340,20130698,-,213,0
NW_026622986.1,16233235,16233481,16233235,16233442.8,207.8,9999,13,100,17.28,0.0832,38.2,0.7259,0.5748,0.877,37,2,both,0.934,0.909,Yes,202,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,1,0,ARMC3,16208623,16332399,-,202,0
NW_026622786.1,70273091,70274934,70273134.4,70274671.2,1536.8,9287.29,13,100,16.58,0.0108,306.2,0.7384999999999999,0.5437,0.9333,31,5,both,1.049,1.009,Yes,1130,77.71664374,DNA;LTR;SINE;Simple_repeat,(TTCTTT)n;AilMel-5.756;Eutr2B;MLT1F;NeoSch-5.248;UrsMar-6.1536,ERVL-MaLR;MULE-MuDR;tRNA,DNA;LTR;SINE;Simple_repeat,LTR,MLT1F,375,9,0.777166437,0,ARMH1,70258326,70291649,-,1454,0
NW_026623089.1,52523465,52523706,52523465,52523674.5,209.5,9999,13,100,19.74,0.0942,39.5,0.46385,0.531,0.3967,40,7,both,1.126,0.893,Yes,187,98.94179894,SINE,AilMel-5.25,tRNA,SINE,SINE,AilMel-5.25,187,1,0.989417989,0,ASCC1,52494814,52587745,+,189,0
NW_026622874.1,64432802,64432882,64432802,64432854.3,52.3,9999,13,100,7.99,0.1528,27.7,0.6271,0.6875,0.5667,31,8,both,1.019,1.045,Yes,50,100,LINE;SINE,L1MEc_5end;ZalCal-1.0,L1;tRNA,LINE;SINE,SINE,ZalCal-1.0,34,2,1,0,ASH1L,64339822,64513427,+,50,0
NW_026622830.1,23970187,23970456,23970187,23970427.6,240.6,9999,13,100,24.08,0.1001,48.2,0.57685,0.76,0.3937,38,4,both,1.953,1.103,Yes,219,100,LTR;SINE,AilMel-5.25;MLT1I,ERVL-MaLR;tRNA,LTR;SINE,SINE,AilMel-5.25,197,3,1,0,ASIP,23873367,23995624,-,219,0
NW_026622874.1,34296662,34296862,34296662,34296829.9,167.9,9999,13,100,12.7,0.0756,32.1,0.8524499999999999,0.8667,0.8382,32,6,both,0.923,0.931,Yes,73,45.0617284,SINE,MIR,MIR,SINE,SINE,MIR,64,2,0.450617284,0,ASPM,34250049,34311619,-,162,0
NW_026623100.1,65842076,65842284,65842083.4,65842283.9,200.5,9999,13,100,2.17,0.0108,20,0.57675,0.5667,0.5868,32,8,both,1.184,0.946,Yes,203,100,LINE;SINE,AilMel-5.25;L1MC_orf2,L1;tRNA,LINE;SINE,SINE,AilMel-5.25,201,2,1,0,ASXL2,65823038,65951858,+,203,0
NW_026622841.1,37409227,37409299,37409227,37409299,72,9999,13,100,0,0,20,0.56209,0.28887999999999997,0.8353,47,5,both,1.25,0.985,No,0,0,None,None,None,None,None,None,0,0,0,567,ASXL3,37266520,37423824,-,72,0
NW_026622841.1,37420198,37420343,37420198,37420342.8,144.8,9999,13,100,0.53,0.0037,20,0.3,0.1,0.5,19,6,end,,0.829,No,0,0,None,None,None,None,None,None,0,0,0,74,ASXL3,37266520,37423824,-,145,0
NW_026622808.1,19278627,19278901,19278627.1,19278838.4,211.3,9999,13,100,21.03,0.0995,62.7,0.6955,0.6289,0.7621,35,3,both,1.086,0.856,Yes,210,99.52606635,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,210,1,0.995260664,0,ATG4D,19275392,19281947,+,211,0
NW_026623111.1,37859609,37859675,37859609.2,37859659.4,50.2,9999,13,100,4.58,0.0911,20,0.62355,0.6533,0.5938,31,8,both,0.922,0.989,No,0,0,None,None,None,None,None,None,0,0,0,161,ATP10D,37792044,37896775,+,49,0
NC_079873.1,114422327,114422465,114422346.8,114422464,117.2,9242.08,13,100,7.82,0.0668,20.8,0.46030000000000004,0.45,0.4706,38,5,both,1.029,1.177,Yes,117,100,LINE,HyaHya-3.13,L1,LINE,LINE,HyaHya-3.13,117,1,1,0,ATP11C,114335473,114511395,+,117,0
NW_026623030.1,23377150,23377390,23377150,23377357.6,207.6,9999,13,100,9.35,0.045,32.4,0.6097,0.7083,0.5111,47,5,both,1,0.988,Yes,201,97.10144928,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,201,1,0.971014493,0,ATP2A2,23366933,23424263,-,207,0
