SCAFFOLD,START,END
NW_024425452.1,16900453,16900658
NW_024425564.1,8409086,8409292
NW_024425564.1,14752695,14752901
NW_024425564.1,30717932,30724232
NW_024425564.1,33559744,33565903
NW_024425897.1,4880793,4880892
NW_024425897.1,14696923,14703149
NW_024425897.1,14977856,14978056
NW_024426008.1,11241335,11242085
NW_024426552.1,44960555,44961354
NW_024426552.1,62598330,62598534
NW_024426552.1,62612700,62618855
NW_024426119.1,11113752,11113828
NW_024426230.1,11087817,11088019
NW_024426885.1,27889307,27889509
NW_024426885.1,50676031,50679804
NW_024426885.1,57221081,57226870
NW_024426885.1,64152867,64156932
NW_024426885.1,65193028,65194213
NW_024426885.1,65619266,65619468
NW_024426885.1,72397106,72397311
NW_024426996.1,2047813,2048011
NW_024426996.1,2131856,2132053
NW_024426774.1,34568328,34569572
NW_024426774.1,47562085,47562293
NW_024426774.1,53411088,53411322
NW_024426774.1,56990135,56990266
NW_024426774.1,72354706,72354908
NW_024426774.1,84266655,84266883
NW_024426885.1,7435093,7435298
NW_024426885.1,21976256,21977271
NW_024426552.1,84564256,84565009
NW_024426552.1,91250334,91250547
NW_024426552.1,93576594,93578604
NW_024426552.1,93933063,93933274
NW_024426663.1,19578747,19578951
NW_024426663.1,55998699,55998775
NW_024426996.1,34946257,34946329
NW_024426996.1,38789337,38789532
NW_024426663.1,78736764,78736961
NW_024426774.1,3565860,3566066
NW_024426774.1,27527441,27527642
NW_024427107.1,48035222,48035425
NW_024427107.1,49254063,49254309
NW_024427107.1,71621520,71621726
NW_024423897.1,31538977,31545393
NW_024424452.1,2949599,2950528
NW_024425008.1,35470096,35476314
NW_024424452.1,4485292,4491514
NW_024426774.1,84235354,84241596
NW_024423344.1,20683643,20685050
NW_024423897.1,53934414,53940480
NW_024425119.1,28802283,28811964
NW_024424675.1,15819607,15825832
NW_024423564.1,61310681,61310999
NW_024423343.1,51946859,51948268
NW_024424452.1,29891324,29891956
NW_024426996.1,22352045,22358446
NW_024426774.1,21697489,21698531
NW_024423343.1,51897409,51903536
NW_024424453.1,20870087,20876337
NW_024423564.1,63579295,63585343
NW_024423897.1,25805990,25812213
NW_024423564.1,43953078,43953321
NW_024423453.1,39380743,39386646
NW_024424119.1,13039174,13039415
NW_024424453.1,23559511,23559755
NW_024424897.1,42925427,42926610
NW_024423453.1,3404975,3405199
NW_024424230.1,40913317,40913547
NW_024424897.1,12973781,12978941
NW_024424897.1,42879658,42879883
NW_024425008.1,12547428,12547653
NW_024425564.1,12315604,12316974
NW_024426885.1,58940024,58943934
NW_024426774.1,74143960,74144190
NW_024423675.1,47326533,47326741
NW_024423786.1,16410406,16410627
NW_024423453.1,36789043,36789254
NW_024423343.1,79326396,79326605
NW_024423344.1,222817,228878
NW_024423344.1,13372035,13372243
NW_024423344.1,35618753,35618961
NW_024423786.1,36782156,36782370
NW_024423786.1,43679920,43680131
NW_024424119.1,55467754,55467969
NW_024424230.1,45221908,45222128
NW_024423897.1,51608143,51608352
NW_024424452.1,82407195,82407405
NW_024424452.1,97467325,97467533
NW_024424453.1,10811950,10812158
NW_024424564.1,33648627,33648840
NW_024424897.1,2730223,2730430
NW_024425008.1,27223226,27223437
NW_024425786.1,29996447,29996658
NW_024425563.1,22661766,22661978
NW_024425341.1,27161896,27162106
NW_024425563.1,77657362,77657574
NW_024426552.1,38350139,38350347
NW_024426552.1,46037895,46038112
NW_024426230.1,10434998,10435218
NW_024426230.1,18374333,18374540
NW_024426885.1,58041831,58042038
NW_024426663.1,7293607,7293816
NW_024426996.1,29436926,29437135
NW_024426663.1,78411295,78411505
NW_024423564.1,24800648,24800844
NW_024423564.1,25856798,25856999
NW_024423564.1,49360643,49360842
NW_024423564.1,65845290,65845492
NW_024423675.1,18500335,18500530
NW_024423786.1,8876336,8876540
NW_024423453.1,40835697,40835891
NW_024423453.1,60485577,60485783
NW_024423453.1,64250608,64250812
NW_024423343.1,52652152,52652354
NW_024423343.1,76267793,76267990
NW_024423344.1,62874860,62875056
NW_024423319.1,118729504,118729704
NW_024423786.1,27696523,27696729
NW_024423786.1,51180325,51180529
NW_024423786.1,51355841,51356045
NW_024424008.1,40940501,40940704
NW_024424008.1,41309290,41309496
NW_024424119.1,3336882,3337088
NW_024424230.1,21107268,21107469
NW_024424230.1,25760430,25760630
NW_024424230.1,39347180,39347386
NW_024424230.1,40831540,40831740
NW_024424008.1,8116960,8117160
NW_024424008.1,19721357,19721558
NW_024424453.1,1159374,1159571
NW_024424453.1,42353256,42353455
NW_024424564.1,2851234,2851437
NW_024424564.1,54848587,54848793
NW_024424675.1,1714189,1714389
NW_024424452.1,15445097,15445296
NW_024424452.1,29746550,29746756
NW_024424452.1,60779517,60779721
NW_024424675.1,16900905,16901103
NW_024424786.1,17142604,17142805
NW_024424897.1,13929493,13929695
NW_024424897.1,34523080,34523277
NW_024425230.1,2608777,2608979
NW_024425786.1,11990270,11990465
NW_024425341.1,4274071,4274271
NW_024425452.1,4369059,4369262
NW_024425452.1,24141198,24141395
NW_024425563.1,71592692,71592892
NW_024425563.1,86397315,86397519
NW_024425564.1,8235141,8235345
NW_024425564.1,12326661,12326859
NW_024425897.1,4103210,4103407
NW_024425897.1,23884911,23885111
NW_024425897.1,26168101,26168301
NW_024426008.1,22492294,22492492
NW_024426008.1,28656658,28656853
NW_024426552.1,33427510,33427708
NW_024426119.1,7079126,7079322
NW_024426230.1,1672641,1672839
NW_024426230.1,2853953,2854152
NW_024426230.1,15832977,15833173
NW_024426885.1,33909441,33909645
NW_024426996.1,6016263,6016458
NW_024426774.1,35650514,35650717
NW_024426774.1,52142878,52143075
NW_024426774.1,54665756,54665952
NW_024426663.1,28982145,28982350
NW_024426663.1,56810641,56810839
NW_024426996.1,18771654,18771849
NW_024426996.1,64104639,64104833
NW_024426996.1,69780335,69780541
NW_024426663.1,85407406,85407607
NW_024426774.1,19986585,19986791
NW_024426774.1,32946013,32946213
NW_024427107.1,40823267,40823469
NW_024427107.1,55386412,55386608
NW_024423564.1,14514957,14515148
NW_024423564.1,67892608,67892792
NW_024423453.1,55988969,55997233
NW_024423344.1,47387470,47387658
NW_024423319.1,40435951,40437296
NW_024424230.1,40821852,40822045
NW_024424897.1,19704494,19704679
NW_024426996.1,54906358,54906547
NW_024423343.1,51882962,51883195
NW_024427107.1,7774390,7780706
NW_024423343.1,94152553,94158773
NW_024424119.1,32173871,32174095
NW_024424119.1,35103393,35103610
NW_024425563.1,57179675,57179902
NW_024426774.1,27708192,27708410
NW_024423675.1,63533934,63534148
NW_024423344.1,6709326,6709534
NW_024423786.1,68505524,68505737
NW_024424008.1,26671996,26672204
NW_024424341.1,22228484,22228695
NW_024424341.1,33340643,33340857
NW_024424453.1,50818899,50819057
NW_024424452.1,74558946,74559152
NW_024424786.1,3066496,3066705
NW_024424786.1,11051647,11051859
NW_024424786.1,40958371,40958578
NW_024424897.1,31524393,31524599
NW_024425230.1,31872768,31872976
NW_024425786.1,13174677,13174885
NW_024425341.1,12841714,12841927
NW_024425563.1,71543339,71543546
NW_024426552.1,45089749,45089956
NW_024426552.1,45522301,45522788
NW_024426230.1,5824382,5824590
NW_024426885.1,57811059,57811274
NW_024426552.1,78609938,78610147
NW_024426663.1,70034116,70034322
NW_024426774.1,15006094,15006305
NW_024427107.1,48547867,48548029
NW_024427107.1,71551779,71551986
NW_024423675.1,12120396,12120592
NW_024423453.1,18540069,18540269
NW_024423453.1,60766006,60766153
NW_024423343.1,75462310,75462512
NW_024423343.1,86299065,86305290
NW_024423343.1,88831497,88831693
NW_024423344.1,33651456,33651658
NW_024423344.1,33865254,33865456
NW_024423786.1,34229524,34229728
NW_024424119.1,1939880,1940084
NW_024424119.1,6856062,6856210
NW_024424230.1,24013336,24013536
NW_024424230.1,54827468,54827665
NW_024423897.1,33271056,33271261
NW_024424008.1,13015962,13016161
NW_024424008.1,24247351,24247550
NW_024424452.1,99281655,99281855
NW_024424452.1,57281407,57287632
NW_024424786.1,35813983,35814180
NW_024425008.1,32039370,32039568
NW_024425008.1,32985852,32989550
NW_024425008.1,44049477,44049678
NW_024425563.1,48791966,48792168
NW_024425452.1,9437631,9437829
NW_024425452.1,23849383,23849584
NW_024425563.1,76623389,76629503
NW_024425563.1,82150723,82150925
NW_024425564.1,9277344,9277549
NW_024425564.1,21377565,21377763
NW_024426552.1,32150434,32150633
NW_024426552.1,33726507,33726704
NW_024426230.1,9910014,9910213
NW_024426885.1,24845582,24845781
NW_024426774.1,69512271,69512470
NW_024426996.1,14726049,14726200
NW_024426663.1,61358121,61358324
NW_024423343.1,100407148,100407365
NW_024424119.1,18911948,18912158
NW_024424564.1,26046983,26047177
NW_024424897.1,40829563,40829756
NW_024424897.1,42712867,42713088
NW_024424897.1,43332634,43332823
NW_024424897.1,45342646,45342840
NW_024425786.1,21473984,21474198
NW_024425563.1,50538544,50538763
NW_024425341.1,26000426,26000620
NW_024426552.1,7767823,7768044
NW_024426552.1,43144804,43144998
NW_024426885.1,11386780,11386994
NW_024426552.1,70690151,70690346
NW_024426996.1,72691601,72691812
NW_024427107.1,10040172,10040390
NW_024427107.1,52593503,52593698
NW_024423564.1,57260598,57260803
NW_024423564.1,70068435,70068646
NW_024423675.1,25271591,25271798
NW_024423564.1,12684101,12685746
NW_024424008.1,59578855,59579063
NW_024424341.1,11204244,11204453
NW_024424341.1,49919038,49919175
NW_024424453.1,9653971,9654179
NW_024424564.1,16586965,16587169
NW_024424564.1,25233811,25234016
NW_024424452.1,34969913,34970116
NW_024424452.1,56354948,56355156
NW_024424675.1,15059656,15059860
NW_024424786.1,31163556,31163760
NW_024425786.1,10006324,10006524
NW_024425563.1,45371670,45371872
NW_024426119.1,22785009,22785216
NW_024426230.1,16103435,16103647
NW_024426774.1,44716847,44717055
NW_024426996.1,17039706,17039909
NW_024426996.1,45996299,45996509
NW_024426996.1,68708748,68708952
NW_024427107.1,35124776,35124980
NW_024423344.1,41165659,41165851
NW_024424119.1,37331087,37331282
NW_024424008.1,20577280,20577483
NW_024424452.1,85220337,85221373
NW_024424452.1,35945892,35946093
NW_024424452.1,46738851,46739047
NW_024424452.1,63006303,63006495
NW_024425563.1,80402429,80402632
NW_024425563.1,84359791,84359992
NW_024425564.1,8122088,8122299
NW_024426008.1,23001574,23001771
NW_024426552.1,43541098,43541291
NW_024426119.1,11356556,11356757
NW_024426230.1,3608327,3608541
NW_024426885.1,45737858,45738054
NW_024426996.1,9471321,9471515
NW_024426996.1,61599964,61600160
NW_024427107.1,1118767,1118895
NW_024423343.1,62637404,62643498
NW_024423319.1,66459640,66466040
NW_024424453.1,52959286,52959492
NW_024424675.1,14128578,14128770
NW_024425008.1,14617703,14617898
NW_024425008.1,35109921,35112398
NW_024425563.1,75079994,75080199
NW_024425897.1,11115367,11115572
NW_024426552.1,25301794,25302003
NW_024426552.1,28769357,28769565
NW_024426663.1,24818872,24819079
NW_024423343.1,64288631,64288826
NW_024423343.1,84926067,84926263
NW_024424008.1,29170185,29172850
NW_024424341.1,31029687,31029880
NW_024424453.1,55536427,55536629
NW_024424897.1,14252555,14252771
NW_024425897.1,4016851,4017051
NW_024423675.1,35923775,35923929
NW_024423897.1,27524947,27525152
NW_024424341.1,44900909,44901100
NW_024424452.1,4569813,4569927
NW_024424452.1,21165975,21166165
NW_024424897.1,9373785,9373992
NW_024425563.1,53401861,53402068
NW_024426552.1,62429178,62429386
NW_024426885.1,77693457,77693664
NW_024423343.1,61513118,61519272
NW_024424452.1,29816043,29816240
NW_024424675.1,9832505,9832615
NW_024424675.1,38110901,38111104
NW_024426552.1,51370555,51370758
NW_024426119.1,14635880,14636083
NW_024423319.1,6965607,6966354
NW_024424008.1,23109197,23115454
NW_024424675.1,23918114,23918346
NW_024425563.1,97782467,97782576
NW_024426008.1,28142156,28142350
NW_024426552.1,9142757,9143835
NW_024426552.1,56589738,56589949
NW_024426552.1,58351335,58351547
NW_024426774.1,35839647,35841264
NW_024426663.1,34664194,34664386
NW_024423564.1,65516818,65516922
NW_024423453.1,43922243,43922346
NW_024423343.1,37004155,37004260
NW_024424453.1,10797942,10798151
NW_024425563.1,25165136,25165344
NW_024423786.1,5909685,5909893
NW_024423343.1,43579175,43579375
NW_024424008.1,15361412,15361623
NW_024424452.1,82354814,82355016
NW_024424675.1,38631958,38632156
NW_024425563.1,64005527,64005730
NW_024426885.1,65610050,65610258
NW_024426774.1,84855663,84855865
NW_024426663.1,46825,47024
NW_024426663.1,71708986,71709185
NW_024426774.1,17683141,17685632
NW_024427107.1,58401663,58402654
NW_024427107.1,77217908,77224137
NW_024423343.1,54967300,54967429
NW_024423344.1,52719976,52720172
NW_024423319.1,112310482,112310689
NW_024423786.1,58409061,58409272
NW_024424453.1,16150073,16154196
NW_024425675.1,4569795,4569999
NW_024426774.1,67675061,67675256
NW_024426996.1,69023294,69023501
NW_024426663.1,61880962,61881058
NW_024427107.1,7033409,7033626
NW_024424119.1,7511148,7511242
NW_024424008.1,19514834,19515044
NW_024424008.1,23130419,23131250
NW_024425675.1,29191187,29191390
NW_024425786.1,14036969,14037171
NW_024425452.1,24150344,24151752
NW_024426774.1,11137129,11137331
NW_024426774.1,24103594,24103802
NW_024423564.1,51840465,51840667
NW_024423564.1,62370836,62372024
NW_024423675.1,16456191,16456500
NW_024423453.1,67748004,67748127
NW_024423564.1,13498729,13498820
NW_024423343.1,66354718,66358534
NW_024424452.1,62236948,62237145
NW_024425008.1,13261811,13262008
NW_024427107.1,32000746,32000938
NW_024423564.1,41210803,41211008
NW_024423897.1,21229374,21229582
NW_024424119.1,17972396,17972574
NW_024424008.1,26757212,26757345
NW_024424897.1,11261939,11262172
NW_024424897.1,15177858,15178065
NW_024425008.1,26587765,26587958
NW_024425563.1,28143130,28143327
NW_024425341.1,16807137,16807330
NW_024423343.1,14886665,14887441
NW_024423343.1,32591766,32591853
NW_024424452.1,73198290,73201458
NW_024426663.1,16041373,16041459
NW_024424564.1,10637313,10637510
NW_024424452.1,52949297,52949519
NW_024426996.1,50582478,50582675
NW_024424452.1,66985871,66988301
NW_024426663.1,53906957,53907757
NW_024424341.1,34226299,34226495
NW_024424897.1,27773756,27778474
NW_024426552.1,38360643,38360784
NW_024426552.1,41454789,41461029
NW_024426663.1,45306021,45306224
NW_024427107.1,50937224,50937423
NW_024424341.1,42086414,42086567
NW_024424786.1,40796672,40796775
NW_024425008.1,26552954,26553161
NW_024425563.1,14810997,14811200
NW_024425563.1,75748206,75748369
NW_024425563.1,87447161,87447237
NW_024424452.1,18974173,18974374
NW_024424786.1,36216914,36216990
NW_024424786.1,41950454,41950570
NW_024425008.1,37900064,37900139
NW_024426230.1,11496244,11496446
NW_024426996.1,58955675,58955877
NW_024423786.1,13373096,13379353
NW_024424452.1,81766519,81768649
NW_024424564.1,43428588,43428809
NW_024425008.1,40624432,40626782
NW_024426996.1,15243300,15243494
NW_024423675.1,19732468,19732621
NW_024426996.1,70152747,70152818
NW_024423343.1,93324887,93325104
NW_024425230.1,470868,471076
NW_024426996.1,34111805,34112018
NW_024426996.1,40975635,40976669
NW_024423564.1,6126247,6128390
NW_024424341.1,44206817,44207019
NW_024425119.1,27865423,27865491
NW_024426885.1,29638609,29639949
NW_024426663.1,47856904,47857115
NW_024423564.1,60857742,60857948
NW_024423675.1,222918,222984
NW_024425230.1,15390825,15391024
NW_024425675.1,26241944,26242146
NW_024426119.1,15584312,15584512
NW_024423675.1,21213788,21213989
NW_024423319.1,103321107,103321173
NW_024423786.1,42674684,42675152
NW_024424675.1,12658698,12658898
NW_024425563.1,24669030,24669228
NW_024425563.1,103061092,103061290
NW_024426008.1,10611056,10611253
NW_024423343.1,49233780,49233865
NW_024424230.1,38157248,38157442
NW_024424675.1,4840546,4841176
NW_024425563.1,84680577,84680737
NW_024424564.1,20664849,20665053
NW_024424119.1,36325663,36325864
NW_024426119.1,11571998,11572195
NW_024426885.1,58175574,58175802
NW_024426885.1,64481326,64481525
NW_024423343.1,31805809,31806007
NW_024424452.1,29215689,29217436
NW_024423564.1,45237187,45238333
NW_024424675.1,24978242,24978982
NW_024426663.1,15299749,15299806
NW_024424453.1,28571267,28571386
NW_024425119.1,16570373,16570447
NW_024423319.1,11731744,11732447
NW_024423319.1,97642994,97643198
NW_024424008.1,2905471,2906887
NW_024424897.1,35837621,35837834
NW_024424008.1,21730411,21730622
NW_024424897.1,32305133,32305345
NW_024426663.1,39745791,39746001
NW_024423675.1,57407015,57407159
NW_024423897.1,22260632,22260834
NW_024424452.1,96529102,96529302
NW_024424675.1,16418934,16419142
NW_024423564.1,11871004,11871209
NW_024423319.1,3890545,3892381
NW_024424230.1,4260360,4260564
NW_024424452.1,97705320,97705523
NW_024425008.1,31409118,31409321
NW_024425008.1,39393466,39393669
NW_024426663.1,62302870,62303073
NW_024427107.1,22553866,22554073
NW_024423319.1,77590656,77592931
NW_024424453.1,456952,457000
NW_024426885.1,28292422,28292626
NW_024426663.1,46628744,46628937
NW_024427107.1,10266263,10266459
NW_024423343.1,39199099,39199172
NW_024424008.1,5095992,5096433
NW_024424564.1,30708132,30708338
NW_024425119.1,18841345,18841440
NW_024423344.1,57227190,57227392
NW_024423675.1,9328626,9328831
NW_024423675.1,19755566,19755635
NW_024426774.1,74565399,74566551
NW_024423343.1,73157449,73157648
NW_024424452.1,80749831,80749936
NW_024426663.1,55216671,55216895
NW_024426885.1,19877251,19877439
NW_024423453.1,28019725,28019929
NW_024426774.1,73554491,73554704
NW_024426663.1,13774805,13775006
NW_024423453.1,30240820,30241017
NW_024423319.1,86504292,86504503
NW_024424452.1,97151068,97151297
NW_024426774.1,19504851,19505062
NW_024426119.1,3717369,3717577
NW_024426552.1,87689406,87689610
NW_024423675.1,20965431,20965652
NW_024424119.1,60027977,60028032
NW_024426552.1,70722778,70722984
NW_024426996.1,18758468,18758680
NW_024424341.1,3303089,3304521
NW_024424564.1,32218713,32218909
NW_024426774.1,35096267,35096467
NW_024423453.1,71452076,71452624
NW_024425897.1,551461,551674
NW_024427107.1,18114090,18114287
NW_024424341.1,12112041,12112251
NW_024427107.1,42708631,42708714
NW_024427107.1,47037675,47037877
NW_024423453.1,61195681,61195881
NW_024423319.1,54102626,54102818
NW_024425119.1,39599311,39599524
NW_024425341.1,31468336,31468528
NW_024425230.1,3267575,3267780
NW_024426552.1,72230249,72230446
NW_024426774.1,39801705,39801784
NW_024426774.1,52325046,52325248
NW_024423343.1,61853727,61853933
NW_024426230.1,12440840,12441037
NW_024426885.1,64236935,64237155
NW_024423344.1,55688100,55690564
NW_024424119.1,40857463,40857657
NW_024424897.1,11098854,11099065
NW_024423564.1,51504199,51504392
NW_024423786.1,1014716,1014794
NW_024426552.1,91194763,91194963
NW_024426774.1,24667097,24667305
NW_024423897.1,49611235,49611434
NW_024425452.1,21573351,21573624
NW_024426996.1,58506960,58509595
NW_024426996.1,15547295,15547498
NW_024427107.1,61626137,61626287
NW_024423675.1,6810427,6810628
NW_024424008.1,53925468,53925678
NW_024424564.1,51026379,51026606
NW_024425341.1,27784343,27784507
NW_024426341.1,992944,993408
NW_024426663.1,58292085,58292297
NW_024426663.1,78658432,78658643
NW_024423675.1,44804408,44804613
NW_024424897.1,46030763,46030964
NW_024423786.1,2602228,2602435
NW_024426774.1,59750390,59751063
NW_024423897.1,10795922,10796134
NW_024426119.1,7576221,7576418
NW_024423675.1,27763512,27763730
NW_024425675.1,4874385,4874956
NW_024426552.1,77904860,77905058
NW_024426552.1,72474543,72474740
NW_024426663.1,19536598,19536796
NW_024423453.1,30081546,30082056
NW_024423453.1,2220635,2220837
NW_024424786.1,41430643,41430855
NW_024426008.1,22459496,22459718
NW_024425675.1,21479931,21480106
NW_024426552.1,9299531,9299735
NW_024424786.1,37764657,37764857
NW_024425008.1,33784548,33784613
NW_024425341.1,34370675,34370792
NW_024423675.1,47255837,47256059
NW_024426774.1,57694171,57694368
NW_024424230.1,26352413,26352534
NW_024427107.1,19100084,19100287
NW_024425452.1,1827610,1827812
NW_024423564.1,30098119,30098321
NW_024426996.1,40613251,40613451
NW_024423344.1,4594855,4595058
NW_024424452.1,77615700,77617266
NW_024426552.1,22463461,22463535
NW_024424008.1,26202613,26202809
NW_024424675.1,8260423,8260505
NW_024423675.1,43495897,43496091
NW_024424452.1,88107671,88107743
NW_024423786.1,9140339,9140401
NW_024423344.1,49007130,49007319
NW_024423344.1,32847523,32847733
NW_024427107.1,65092655,65092837
NW_024423344.1,32491586,32491778
NW_024425897.1,21030179,21030386
NW_024424453.1,37192220,37192441
NW_024424452.1,24555327,24555529
NW_024426119.1,14343710,14344203
NW_024424453.1,32058021,32058224
NW_024424453.1,28598554,28598757
NW_024424453.1,35906050,35906257
NW_024426552.1,30971572,30971772
NW_024425119.1,41847556,41847760
NW_024425230.1,20419628,20419836
NW_024423564.1,43727774,43727981
NW_024423675.1,23340761,23340823
NW_024424230.1,38492543,38492773
NW_024426663.1,75674004,75674206
NW_024424452.1,35184859,35185065
NW_024426552.1,12113192,12113395
NW_024424786.1,30773229,30773427
NW_024426996.1,50681290,50681503
NW_024424230.1,23172931,23173122
NW_024423343.1,63257730,63257934
NW_024424230.1,34775481,34775551
NW_024424675.1,29174849,29174910
NW_024426119.1,22913011,22913220
NW_024423564.1,62287556,62287759
NW_024423675.1,8114592,8114799
NW_024423343.1,20317029,20317236
NW_024424452.1,44731726,44731876
NW_024426663.1,53482385,53482588
NW_024425341.1,10383136,10383342
NW_024425341.1,33059380,33060029
NW_024426552.1,15697190,15697397
NW_024425119.1,40665505,40666111
NW_024423675.1,39976046,39976253
NW_024424230.1,45911877,45912074
NW_024424564.1,50072354,50072466
NW_024426552.1,60389621,60389825
NW_024426774.1,83607237,83607430
NW_024423343.1,60815585,60815806
NW_024426663.1,45822713,45822759
NW_024426774.1,10500948,10501169
NW_024426774.1,75694095,75694293
NW_024427107.1,69612384,69612586
NW_024423564.1,59892633,59892849
NW_024423343.1,28407634,28408096
NW_024423786.1,32226297,32226509
NW_024425119.1,20351384,20351449
NW_024426119.1,9957002,9957107
NW_024426774.1,8936799,8937009
NW_024424786.1,20006002,20006200
NW_024425230.1,30757832,30759860
NW_024424008.1,5641978,5642172
NW_024426552.1,68832716,68832911
NW_024427107.1,68716214,68716419
NW_024423564.1,58676486,58677627
NW_024423564.1,48294611,48294817
NW_024426663.1,32764598,32764660
NW_024423343.1,37160491,37160700
NW_024423675.1,55580852,55581052
NW_024424564.1,32122441,32122641
NW_024425341.1,7465971,7466179
NW_024426774.1,19140191,19140386
NW_024425675.1,15378652,15378849
NW_024425564.1,714625,714824
NW_024425564.1,8228736,8229236
NW_024424675.1,14674397,14674557
NW_024425897.1,5453369,5453778
NW_024425897.1,10605322,10605414
NW_024424230.1,51328624,51328816
NW_024423786.1,49953401,49953625
NW_024424452.1,22653292,22653502
NW_024425119.1,8938197,8938408
NW_024426774.1,71510854,71511060
NW_024425563.1,97461412,97461623
NW_024427107.1,59320650,59320903
NW_024423786.1,44084827,44085031
NW_024424230.1,50589861,50590074
NW_024423675.1,7138599,7138804
NW_024425230.1,17812601,17812808
NW_024423453.1,32735435,32735622
NW_024423344.1,15782722,15782921
NW_024425119.1,8559166,8559393
NW_024425563.1,11464955,11465506
NW_024423564.1,19524026,19524236
NW_024424008.1,49067316,49067575
NW_024426008.1,3942360,3942565
NW_024426008.1,28756375,28757078
NW_024426774.1,62612526,62612723
NW_024426663.1,46571102,46571308
NW_024424119.1,29948696,29948899
NW_024424452.1,4583430,4583629
NW_024424452.1,62976407,62976606
NW_024424119.1,2684306,2684511
NW_024426996.1,7013226,7013437
NW_024424786.1,29667366,29667571
NW_024425008.1,26427974,26428187
NW_024426774.1,24918885,24919081
NW_024423344.1,51662811,51664291
NW_024424453.1,54049245,54049453
NW_024426663.1,54619856,54620059
NW_024426996.1,24273425,24273631
NW_024423786.1,20879925,20880125
NW_024423343.1,3059074,3059350
NW_024423344.1,8686866,8687074
NW_024424564.1,34701331,34701575
NW_024423344.1,47148755,47148959
NW_024424119.1,6205091,6205297
NW_024425563.1,37083287,37083490
NW_024425452.1,23416006,23416225
NW_024423675.1,17719573,17719798
NW_024424230.1,15496962,15497155
NW_024425786.1,15941105,15941313
NW_024423343.1,43581030,43581232
NW_024425675.1,24535603,24535801
NW_024423675.1,23634721,23634943
NW_024426663.1,82242476,82242675
NW_024424786.1,10910245,10910453
NW_024426552.1,55783008,55783211
NW_024426663.1,16006085,16006283
NW_024423564.1,43475489,43475886
NW_024423564.1,27051270,27051540
NW_024424119.1,47856141,47856335
NW_024426774.1,4448025,4448366
NW_024423319.1,109505289,109505373
NW_024424008.1,8563673,8563879
NW_024423453.1,58331878,58332076
NW_024425675.1,15467730,15467949
NW_024426119.1,5127695,5127907
NW_024423786.1,68736,68928
NW_024424897.1,9840244,9840449
NW_024426885.1,52404853,52405571
NW_024426774.1,44095397,44095605
NW_024427107.1,63456632,63456839
NW_024423786.1,1198481,1198681
NW_024424230.1,26876857,26877064
NW_024425230.1,15392072,15392293
NW_024426774.1,64090911,64091109
NW_024424008.1,25502514,25502715
NW_024425119.1,28585317,28585518
NW_024427107.1,36572040,36572242
